race,actual_winner
Bahrain Grand Prix,VER
Saudi Arabian Grand Prix,VER
Australian Grand Prix,SAI
Japanese Grand Prix,VER
Chinese Grand Prix,VER
Miami Grand Prix,NOR
Emilia Romagna Grand Prix,VER
Monaco Grand Prix,LEC
Canadian Grand Prix,VER
Spanish Grand Prix,VER
Austrian Grand Prix,RUS
British Grand Prix,HAM
Hungarian Grand Prix,PIA
Belgian Grand Prix,HAM
Dutch Grand Prix,NOR
Italian Grand Prix,LEC
Azerbaijan Grand Prix,PIA
Singapore Grand Prix,NOR
United States Grand Prix,LEC
Mexico City Grand Prix,SAI
São Paulo Grand Prix,VER
Las Vegas Grand Prix,RUS
Qatar Grand Prix,VER
Abu Dhabi Grand Prix,NOR
