season,race,driver,fp2_mean_lap,fp2_std_lap,fp2_best_lap,fp2_laps_count,best_quali_lap,best_quali_lap_number,best_quali_compound,fp2_deg_slope,dnf
2024,Abu Dhabi Grand Prix,ALB,102.3106667,17.46692016,84.269,15,83.821,5,SOFT,6.376928571,1
2024,Abu Dhabi Grand Prix,ALO,99.79836842,16.00341003,84.574,19,83.196,18,SOFT,0.430059524,1
2024,Abu Dhabi Grand Prix,BOT,100.70875,18.54334659,84.23,20,83.204,14,SOFT,0.887874459,1
2024,Abu Dhabi Grand Prix,COL,106.3105,23.42221944,85.265,8,83.912,5,SOFT,0.606971429,1
2024,Abu Dhabi Grand Prix,DOO,110.1555,24.91320963,84.961,24,84.105,5,SOFT,0.003209524,1
2024,Abu Dhabi Grand Prix,GAS,99.9637,18.89606393,84.517,20,82.984,17,SOFT,3.036236364,1
2024,Abu Dhabi Grand Prix,HAM,102.9926667,24.25444465,84.119,21,83.887,3,SOFT,1.033178986,1
2024,Abu Dhabi Grand Prix,HUL,100.3796087,19.58133214,83.979,23,82.886,16,SOFT,1.055483333,1
2024,Abu Dhabi Grand Prix,LAW,104.2057143,21.73200405,84.503,21,83.472,11,SOFT,1.958367857,1
2024,Abu Dhabi Grand Prix,LEC,100.8215,19.62348585,84.201,22,82.98,11,SOFT,2.626465369,1
2024,Abu Dhabi Grand Prix,MAG,95.12388889,13.4804424,84.235,18,83.632,2,SOFT,2.916590909,1
2024,Abu Dhabi Grand Prix,NOR,103.1918571,22.07397899,83.517,21,82.595,15,SOFT,-0.184833333,1
2024,Abu Dhabi Grand Prix,PIA,101.6063043,19.86592008,83.751,23,82.804,15,SOFT,-0.131369048,1
2024,Abu Dhabi Grand Prix,RUS,96.19564706,15.53561295,84.534,17,83.132,18,SOFT,1.29905353,1
2024,Abu Dhabi Grand Prix,SAI,96.6202,16.55878978,84.099,20,82.824,15,SOFT,2.241657219,1
2024,Abu Dhabi Grand Prix,STR,104.6215,23.37004114,84.686,24,83.729,5,SOFT,1.739217992,1
2024,Abu Dhabi Grand Prix,TSU,107.0262174,24.67776773,84.497,23,83.419,11,SOFT,2.737964583,1
2024,Abu Dhabi Grand Prix,VER,103.230087,20.50712764,84.598,23,82.945,11,SOFT,2.745456044,1
2024,Abu Dhabi Grand Prix,ZHO,98.43641176,15.47494415,84.557,17,83.88,5,SOFT,3.118757576,1
2024,Australian Grand Prix,ALO,92.42517857,16.83149206,77.912,28,76.71,14,SOFT,-0.337542857,1
2024,Australian Grand Prix,BOT,92.629,14.64890236,78.585,28,77.34,14,SOFT,0.143325,1
2024,Australian Grand Prix,GAS,91.72896552,14.49672823,78.691,29,77.982,7,SOFT,-0.2448557,1
2024,Australian Grand Prix,HAM,101.17,20.60929364,78.834,18,76.96,14,SOFT,-1.488541667,1
2024,Australian Grand Prix,HUL,93.70941667,15.75491587,78.702,24,77.976,7,SOFT,-0.382113586,1
2024,Australian Grand Prix,LEC,98.34052174,21.5752965,77.277,23,76.304,14,SOFT,0.159638095,1
2024,Australian Grand Prix,MAG,94.76371429,16.24650083,79.275,28,77.427,12,SOFT,-1.819325,1
2024,Australian Grand Prix,NOR,92.96231579,16.64056533,78.155,19,76.315,18,SOFT,-1.273781818,1
2024,Australian Grand Prix,OCO,92.43432143,14.76969404,78.705,28,77.617,10,SOFT,-1.206060689,1
2024,Australian Grand Prix,PER,94.33207143,19.50395931,78.09,28,76.274,21,SOFT,-0.164554362,1
2024,Australian Grand Prix,PIA,88.33448,11.68143114,78.077,25,76.572,17,SOFT,-0.229287912,1
2024,Australian Grand Prix,RIC,95.56088462,19.15776021,78.534,26,77.466,5,SOFT,-2.876992063,1
2024,Australian Grand Prix,RUS,95.48947619,17.25278402,77.951,21,76.724,22,SOFT,0.154188889,1
2024,Australian Grand Prix,SAI,98.94177273,25.28255898,77.707,22,76.185,17,SOFT,1.106827273,1
2024,Australian Grand Prix,STR,92.54196,16.72657963,77.822,25,76.78,17,SOFT,0.455615385,1
2024,Australian Grand Prix,TSU,98.02791304,21.9679111,78.188,23,76.788,17,SOFT,0.46053961,1
2024,Australian Grand Prix,VER,97.31916667,19.82190181,77.658,18,75.915,20,SOFT,0.938346429,0
2024,Australian Grand Prix,ZHO,96.50806897,19.04608676,78.421,29,78.188,5,SOFT,-0.401709249,1
2024,Azerbaijan Grand Prix,ALB,118.46415,14.21823855,104.737,20,102.84,13,SOFT,0.169310823,1
