season,race,driver,fp2_deg_slope
2024,Abu Dhabi Grand Prix,ALB,6.37692857142857
2024,Abu Dhabi Grand Prix,ALO,0.4300595238095245
2024,Abu Dhabi Grand Prix,BOT,0.8878744588744587
2024,Abu Dhabi Grand Prix,COL,0.6069714285714293
2024,Abu Dhabi Grand Prix,DOO,0.003209523809524361
2024,Abu Dhabi Grand Prix,GAS,3.036236363636365
2024,Abu Dhabi Grand Prix,HAM,1.0331789855072468
2024,Abu Dhabi Grand Prix,HUL,1.0554833333333336
2024,Abu Dhabi Grand Prix,LAW,1.9583678571428558
2024,Abu Dhabi Grand Prix,LEC,2.626465369189634
2024,Abu Dhabi Grand Prix,MAG,2.9165909090909103
2024,Abu Dhabi Grand Prix,NOR,-0.184833333333333
2024,Abu Dhabi Grand Prix,PER,1.1718000000000015
2024,Abu Dhabi Grand Prix,PIA,-0.13136904761904825
2024,Abu Dhabi Grand Prix,RUS,1.2990535300195158
2024,Abu Dhabi Grand Prix,SAI,2.241657219251338
2024,Abu Dhabi Grand Prix,STR,1.739217992424243
2024,Abu Dhabi Grand Prix,TSU,2.7379645833333326
2024,Abu Dhabi Grand Prix,VER,2.7454560439560436
2024,Abu Dhabi Grand Prix,ZHO,3.1187575757575763
2024,Australian Grand Prix,ALO,-0.33754285714285714
2024,Australian Grand Prix,BOT,0.14332500000000048
2024,Australian Grand Prix,GAS,-0.24485569985569955
2024,Australian Grand Prix,HAM,-1.4885416666666653
2024,Australian Grand Prix,HUL,-0.38211358641358684
2024,Australian Grand Prix,LEC,0.15963809523809552
2024,Australian Grand Prix,MAG,-1.819325
2024,Australian Grand Prix,NOR,-1.2737818181818183
2024,Australian Grand Prix,OCO,-1.2060606893106893
2024,Australian Grand Prix,PER,-0.16455436230436238
2024,Australian Grand Prix,PIA,-0.22928791208791227
2024,Australian Grand Prix,RIC,-2.876992063492063
2024,Australian Grand Prix,RUS,0.15418888888888885
2024,Australian Grand Prix,SAI,1.1068272727272737
2024,Australian Grand Prix,SAR,-1.467059523809522
2024,Australian Grand Prix,STR,0.45561538461538487
2024,Australian Grand Prix,TSU,0.4605396103896109
2024,Australian Grand Prix,VER,0.9383464285714286
2024,Australian Grand Prix,ZHO,-0.4017092490842503
2024,Azerbaijan Grand Prix,ALB,0.1693108225108213
2024,Azerbaijan Grand Prix,ALO,1.1872550449550452
2024,Azerbaijan Grand Prix,BEA,2.1792062937062933
2024,Azerbaijan Grand Prix,BOT,1.7122792207792203
2024,Azerbaijan Grand Prix,COL,1.2568212121212132
2024,Azerbaijan Grand Prix,GAS,2.8660476190476185
2024,Azerbaijan Grand Prix,HAM,5.50312857142857
2024,Azerbaijan Grand Prix,HUL,1.4077999999999997
2024,Azerbaijan Grand Prix,LEC,-0.9618756756756783
2024,Azerbaijan Grand Prix,NOR,1.369582142857144
2024,Azerbaijan Grand Prix,OCO,1.7154108663289946
2024,Azerbaijan Grand Prix,PER,1.4700188688123472
2024,Azerbaijan Grand Prix,PIA,0.06496969696969608
2024,Azerbaijan Grand Prix,RIC,0.3074636363636362
2024,Azerbaijan Grand Prix,RUS,0.36709999999999987
2024,Azerbaijan Grand Prix,SAI,1.838818181818182
2024,Azerbaijan Grand Prix,STR,1.1382177045177049
2024,Azerbaijan Grand Prix,TSU,-0.16252727272727344
2024,Azerbaijan Grand Prix,VER,2.9283954545454542
2024,Azerbaijan Grand Prix,ZHO,0.13772227879034726
2024,Bahrain Grand Prix,ALB,-1.1655212121212128
2024,Bahrain Grand Prix,ALO,2.9469181818181833
2024,Bahrain Grand Prix,BOT,1.129708791208791
2024,Bahrain Grand Prix,GAS,0.2232794871794881
2024,Bahrain Grand Prix,HAM,1.1391999999999998
2024,Bahrain Grand Prix,HUL,2.9732912087912085
2024,Bahrain Grand Prix,LEC,0.9775571428571423
2024,Bahrain Grand Prix,MAG,-0.04256208791208638
2024,Bahrain Grand Prix,NOR,0.1712237762237758
2024,Bahrain Grand Prix,OCO,1.5844744755244762
2024,Bahrain Grand Prix,PER,1.6919499999999992
2024,Bahrain Grand Prix,PIA,2.135899999999999
2024,Bahrain Grand Prix,RIC,0.5916269230769233
2024,Bahrain Grand Prix,RUS,1.8334878967186647
2024,Bahrain Grand Prix,SAI,2.7553571428571426
2024,Bahrain Grand Prix,SAR,0.5408424242424252
2024,Bahrain Grand Prix,STR,0.015289335664335657
2024,Bahrain Grand Prix,TSU,0.15955439560439533
2024,Bahrain Grand Prix,VER,1.9464821428571422
2024,Bahrain Grand Prix,ZHO,0.9507428571428572
2024,Belgian Grand Prix,ALB,0.8469954887218043
2024,Belgian Grand Prix,ALO,2.361880952380952
2024,Belgian Grand Prix,BOT,2.7922000000000007
2024,Belgian Grand Prix,GAS,1.3308999999999995
2024,Belgian Grand Prix,HAM,1.234696264367816
2024,Belgian Grand Prix,HUL,2.73279090909091
2024,Belgian Grand Prix,LEC,0.7827380952380945
2024,Belgian Grand Prix,MAG,1.7804500000000012
2024,Belgian Grand Prix,NOR,2.7032000000000003
2024,Belgian Grand Prix,OCO,0.6464047619047627
2024,Belgian Grand Prix,PER,1.2362190213101814
2024,Belgian Grand Prix,PIA,1.0980714285714277
2024,Belgian Grand Prix,RIC,-2.152171428571428
