season,race,driver,lap_number,lap_time,compound,stint,tyre_life
2022,Abu Dhabi Grand Prix,ALB,2,106.269,HARD,1,2
2022,Abu Dhabi Grand Prix,ALB,3,88.603,HARD,1,3
2022,Abu Dhabi Grand Prix,ALB,4,122.978,HARD,1,4
2022,Abu Dhabi Grand Prix,ALB,5,87.993,HARD,1,5
2022,Abu Dhabi Grand Prix,ALB,6,125.807,HARD,1,6
2022,Abu Dhabi Grand Prix,ALB,7,93.232,HARD,1,7
2022,Abu Dhabi Grand Prix,ALB,9,86.75,SOFT,2,2
2022,Abu Dhabi Grand Prix,ALB,10,129.357,SOFT,2,3
2022,Abu Dhabi Grand Prix,ALB,11,124.024,SOFT,2,4
2022,Abu Dhabi Grand Prix,ALB,12,87.28,SOFT,2,5
2022,Abu Dhabi Grand Prix,ALB,13,106.491,SOFT,2,6
2022,Abu Dhabi Grand Prix,ALB,15,120.626,HARD,4,8
2022,Abu Dhabi Grand Prix,ALB,16,91.57,HARD,4,9
2022,Abu Dhabi Grand Prix,ALB,17,91.337,HARD,4,10
2022,Abu Dhabi Grand Prix,ALB,18,91.586,HARD,4,11
2022,Abu Dhabi Grand Prix,ALB,19,92.02,HARD,4,12
2022,Abu Dhabi Grand Prix,ALB,20,92.332,HARD,4,13
2022,Abu Dhabi Grand Prix,ALB,21,92.113,HARD,4,14
2022,Abu Dhabi Grand Prix,ALB,22,92.12,HARD,4,15
2022,Abu Dhabi Grand Prix,ALB,23,92.066,HARD,4,16
2022,Abu Dhabi Grand Prix,ALB,24,92.702,HARD,4,17
2022,Abu Dhabi Grand Prix,ALB,25,92.394,HARD,4,18
2022,Abu Dhabi Grand Prix,ALB,26,92.838,HARD,4,19
2022,Abu Dhabi Grand Prix,ALB,27,92.921,HARD,4,20
2022,Abu Dhabi Grand Prix,ALB,28,128.621,HARD,4,21
2022,Abu Dhabi Grand Prix,ALB,29,131.357,HARD,4,22
2022,Abu Dhabi Grand Prix,ALO,2,87.991,MEDIUM,1,2
2022,Abu Dhabi Grand Prix,ALO,3,120.194,MEDIUM,1,3
2022,Abu Dhabi Grand Prix,ALO,4,110.551,MEDIUM,1,4
2022,Abu Dhabi Grand Prix,ALO,5,87.708,MEDIUM,1,5
2022,Abu Dhabi Grand Prix,ALO,6,134.969,MEDIUM,1,6
2022,Abu Dhabi Grand Prix,ALO,7,91.693,MEDIUM,1,7
2022,Abu Dhabi Grand Prix,ALO,8,110.821,MEDIUM,1,8
2022,Abu Dhabi Grand Prix,ALO,9,87.588,MEDIUM,1,9
2022,Abu Dhabi Grand Prix,ALO,10,117.721,MEDIUM,1,10
2022,Abu Dhabi Grand Prix,ALO,11,88.006,MEDIUM,1,11
2022,Abu Dhabi Grand Prix,ALO,12,101.367,MEDIUM,1,12
2022,Abu Dhabi Grand Prix,ALO,14,86.043,SOFT,2,2
