season,race,driver,best_quali_lap,best_quali_lap_number,best_quali_compound
2024,Abu Dhabi Grand Prix,ALB,83.821,5,SOFT
2024,Abu Dhabi Grand Prix,ALO,83.196,18,SOFT
2024,Abu Dhabi Grand Prix,BOT,83.204,14,SOFT
2024,Abu Dhabi Grand Prix,COL,83.912,5,SOFT
2024,Abu Dhabi Grand Prix,DOO,84.105,5,SOFT
2024,Abu Dhabi Grand Prix,GAS,82.984,17,SOFT
2024,Abu Dhabi Grand Prix,HAM,83.887,3,SOFT
2024,Abu Dhabi Grand Prix,HUL,82.886,16,SOFT
2024,Abu Dhabi Grand Prix,LAW,83.472,11,SOFT
2024,Abu Dhabi Grand Prix,LEC,82.98,11,SOFT
2024,Abu Dhabi Grand Prix,MAG,83.632,2,SOFT
2024,Abu Dhabi Grand Prix,NOR,82.595,15,SOFT
2024,Abu Dhabi Grand Prix,PER,83.264,17,SOFT
2024,Abu Dhabi Grand Prix,PIA,82.804,15,SOFT
2024,Abu Dhabi Grand Prix,RUS,83.132,18,SOFT
2024,Abu Dhabi Grand Prix,SAI,82.824,15,SOFT
2024,Abu Dhabi Grand Prix,STR,83.729,5,SOFT
2024,Abu Dhabi Grand Prix,TSU,83.419,11,SOFT
2024,Abu Dhabi Grand Prix,VER,82.945,11,SOFT
2024,Abu Dhabi Grand Prix,ZHO,83.88,5,SOFT
2024,Australian Grand Prix,ALB,77.13,8,SOFT
2024,Australian Grand Prix,ALO,76.71,14,SOFT
2024,Australian Grand Prix,BOT,77.34,14,SOFT
2024,Australian Grand Prix,GAS,77.982,7,SOFT
2024,Australian Grand Prix,HAM,76.96,14,SOFT
2024,Australian Grand Prix,HUL,77.976,7,SOFT
2024,Australian Grand Prix,LEC,76.304,14,SOFT
2024,Australian Grand Prix,MAG,77.427,12,SOFT
2024,Australian Grand Prix,NOR,76.315,18,SOFT
2024,Australian Grand Prix,OCO,77.617,10,SOFT
2024,Australian Grand Prix,PER,76.274,21,SOFT
2024,Australian Grand Prix,PIA,76.572,17,SOFT
2024,Australian Grand Prix,RIC,77.466,5,SOFT
2024,Australian Grand Prix,RUS,76.724,22,SOFT
2024,Australian Grand Prix,SAI,76.185,17,SOFT
2024,Australian Grand Prix,STR,76.78,17,SOFT
2024,Australian Grand Prix,TSU,76.788,17,SOFT
2024,Australian Grand Prix,VER,75.915,20,SOFT
2024,Australian Grand Prix,ZHO,78.188,5,SOFT
2024,Austrian Grand Prix,ALB,65.736,8,SOFT
2024,Austrian Grand Prix,ALO,65.639,11,SOFT
2024,Austrian Grand Prix,BOT,65.847,5,SOFT
2024,Austrian Grand Prix,GAS,65.335,17,SOFT
2024,Austrian Grand Prix,HAM,64.903,17,SOFT
2024,Austrian Grand Prix,HUL,65.262,14,SOFT
2024,Austrian Grand Prix,LEC,65.044,18,SOFT
2024,Austrian Grand Prix,MAG,65.347,14,SOFT
2024,Austrian Grand Prix,NOR,64.718,19,SOFT
2024,Austrian Grand Prix,OCO,65.274,17,SOFT
2024,Austrian Grand Prix,PER,65.144,14,SOFT
2024,Austrian Grand Prix,PIA,64.786,16,SOFT
2024,Austrian Grand Prix,RIC,65.289,14,SOFT
2024,Austrian Grand Prix,RUS,64.84,17,SOFT
2024,Austrian Grand Prix,SAI,64.851,17,SOFT
2024,Austrian Grand Prix,SAR,65.856,8,SOFT
2024,Austrian Grand Prix,STR,65.819,8,SOFT
2024,Austrian Grand Prix,TSU,65.412,11,SOFT
2024,Austrian Grand Prix,VER,64.314,17,SOFT
2024,Austrian Grand Prix,ZHO,66.061,8,SOFT
2024,Azerbaijan Grand Prix,ALB,102.84,13,SOFT
2024,Azerbaijan Grand Prix,ALO,102.369,18,SOFT
2024,Azerbaijan Grand Prix,BEA,102.968,13,SOFT
2024,Azerbaijan Grand Prix,BOT,103.618,6,SOFT
2024,Azerbaijan Grand Prix,COL,102.473,13,SOFT
2024,Azerbaijan Grand Prix,GAS,103.088,8,SOFT
2024,Azerbaijan Grand Prix,HAM,102.289,21,SOFT
2024,Azerbaijan Grand Prix,HUL,103.101,7,SOFT
2024,Azerbaijan Grand Prix,LEC,101.365,19,SOFT
2024,Azerbaijan Grand Prix,NOR,103.609,4,SOFT
2024,Azerbaijan Grand Prix,OCO,104.504,5,SOFT
2024,Azerbaijan Grand Prix,PER,101.813,14,SOFT
2024,Azerbaijan Grand Prix,PIA,101.686,18,SOFT
2024,Azerbaijan Grand Prix,RIC,103.547,7,SOFT
2024,Azerbaijan Grand Prix,RUS,101.874,19,SOFT
2024,Azerbaijan Grand Prix,SAI,101.805,22,SOFT
2024,Azerbaijan Grand Prix,STR,103.37,7,SOFT
2024,Azerbaijan Grand Prix,TSU,103.035,15,SOFT
2024,Azerbaijan Grand Prix,VER,102.023,19,SOFT
2024,Azerbaijan Grand Prix,ZHO,104.246,9,SOFT
2024,Bahrain Grand Prix,ALB,90.221,11,SOFT
2024,Bahrain Grand Prix,ALO,89.542,13,SOFT
2024,Bahrain Grand Prix,BOT,90.756,5,SOFT
2024,Bahrain Grand Prix,GAS,90.948,8,SOFT
2024,Bahrain Grand Prix,HAM,89.71,17,SOFT
2024,Bahrain Grand Prix,HUL,89.851,11,SOFT
2024,Bahrain Grand Prix,LEC,89.165,12,SOFT
2024,Bahrain Grand Prix,MAG,90.529,11,SOFT
2024,Bahrain Grand Prix,NOR,89.614,14,SOFT
2024,Bahrain Grand Prix,OCO,90.793,8,SOFT
2024,Bahrain Grand Prix,PER,89.537,16,SOFT
2024,Bahrain Grand Prix,PIA,89.683,17,SOFT
2024,Bahrain Grand Prix,RIC,90.278,11,SOFT
2024,Bahrain Grand Prix,RUS,89.485,16,SOFT
2024,Bahrain Grand Prix,SAI,89.507,17,SOFT
2024,Bahrain Grand Prix,SAR,90.77,2,SOFT
2024,Bahrain Grand Prix,STR,89.965,5,SOFT
2024,Bahrain Grand Prix,TSU,90.129,11,SOFT
2024,Bahrain Grand Prix,VER,89.179,16,SOFT
2024,Bahrain Grand Prix,ZHO,90.757,5,SOFT
2024,Belgian Grand Prix,ALB,114.473,15,INTERMEDIATE
2024,Belgian Grand Prix,ALO,114.258,16,INTERMEDIATE
2024,Belgian Grand Prix,BOT,114.764,16,INTERMEDIATE
2024,Belgian Grand Prix,GAS,114.635,16,INTERMEDIATE
2024,Belgian Grand Prix,HAM,113.835,20,INTERMEDIATE
2024,Belgian Grand Prix,HUL,116.308,8,INTERMEDIATE
2024,Belgian Grand Prix,LEC,113.754,21,INTERMEDIATE
2024,Belgian Grand Prix,MAG,116.5,8,INTERMEDIATE
2024,Belgian Grand Prix,NOR,113.981,22,INTERMEDIATE
2024,Belgian Grand Prix,OCO,114.46,16,INTERMEDIATE
2024,Belgian Grand Prix,PER,113.765,18,INTERMEDIATE
2024,Belgian Grand Prix,PIA,114.027,18,INTERMEDIATE
2024,Belgian Grand Prix,RIC,114.682,13,INTERMEDIATE
2024,Belgian Grand Prix,RUS,114.095,15,INTERMEDIATE
2024,Belgian Grand Prix,SAI,114.112,16,INTERMEDIATE
2024,Belgian Grand Prix,SAR,117.23,6,INTERMEDIATE
2024,Belgian Grand Prix,STR,115.716,15,INTERMEDIATE
2024,Belgian Grand Prix,TSU,116.593,7,INTERMEDIATE
2024,Belgian Grand Prix,VER,113.159,17,INTERMEDIATE
2024,Belgian Grand Prix,ZHO,117.775,5,INTERMEDIATE
2024,British Grand Prix,ALB,86.64,22,SOFT
2024,British Grand Prix,ALO,86.73,18,SOFT
2024,British Grand Prix,BOT,92.431,8,SOFT
2024,British Grand Prix,GAS,99.804,2,INTERMEDIATE
2024,British Grand Prix,HAM,85.99,24,SOFT
2024,British Grand Prix,HUL,86.338,16,SOFT
2024,British Grand Prix,LEC,87.097,17,SOFT
2024,British Grand Prix,MAG,92.905,5,SOFT
2024,British Grand Prix,NOR,86.03,19,SOFT
2024,British Grand Prix,OCO,94.557,9,SOFT
2024,British Grand Prix,PER,98.348,2,INTERMEDIATE
2024,British Grand Prix,PIA,86.237,20,SOFT
2024,British Grand Prix,RIC,87.949,17,SOFT
2024,British Grand Prix,RUS,85.819,25,SOFT
2024,British Grand Prix,SAI,86.509,20,SOFT
2024,British Grand Prix,SAR,87.175,17,SOFT
2024,British Grand Prix,STR,86.585,23,SOFT
2024,British Grand Prix,TSU,87.269,16,SOFT
2024,British Grand Prix,VER,86.203,23,SOFT
2024,British Grand Prix,ZHO,87.867,19,SOFT
2024,Canadian Grand Prix,ALB,72.485,18,SOFT
2024,Canadian Grand Prix,ALO,72.228,22,SOFT
2024,Canadian Grand Prix,BOT,73.366,9,SOFT
2024,Canadian Grand Prix,GAS,72.94,17,SOFT
2024,Canadian Grand Prix,HAM,71.979,19,SOFT
2024,Canadian Grand Prix,HUL,73.978,9,SOFT
2024,Canadian Grand Prix,LEC,72.691,20,SOFT
2024,Canadian Grand Prix,MAG,72.916,13,SOFT
2024,Canadian Grand Prix,NOR,72.021,22,SOFT
2024,Canadian Grand Prix,OCO,73.435,8,SOFT
2024,Canadian Grand Prix,PER,73.326,10,SOFT
2024,Canadian Grand Prix,PIA,72.103,26,SOFT
2024,Canadian Grand Prix,RIC,72.178,24,SOFT
2024,Canadian Grand Prix,RUS,71.742,19,SOFT
2024,Canadian Grand Prix,SAI,72.728,21,SOFT
2024,Canadian Grand Prix,SAR,72.736,21,SOFT
2024,Canadian Grand Prix,STR,72.659,16,SOFT
2024,Canadian Grand Prix,TSU,72.303,16,SOFT
2024,Canadian Grand Prix,VER,72.0,26,SOFT
2024,Canadian Grand Prix,ZHO,74.292,10,SOFT
2024,Chinese Grand Prix,ALB,95.241,13,SOFT
2024,Chinese Grand Prix,ALO,94.148,14,SOFT
2024,Chinese Grand Prix,BOT,94.665,14,SOFT
2024,Chinese Grand Prix,GAS,95.287,8,SOFT
2024,Chinese Grand Prix,HAM,95.573,5,SOFT
2024,Chinese Grand Prix,HUL,94.604,20,SOFT
2024,Chinese Grand Prix,LEC,94.289,19,SOFT
2024,Chinese Grand Prix,MAG,95.516,5,SOFT
2024,Chinese Grand Prix,NOR,94.165,14,SOFT
2024,Chinese Grand Prix,OCO,95.223,14,SOFT
2024,Chinese Grand Prix,PER,93.982,18,SOFT
2024,Chinese Grand Prix,PIA,94.273,15,SOFT
2024,Chinese Grand Prix,RIC,94.934,11,SOFT
2024,Chinese Grand Prix,RUS,94.433,19,SOFT
2024,Chinese Grand Prix,SAI,94.297,16,SOFT
2024,Chinese Grand Prix,SAR,96.358,4,SOFT
2024,Chinese Grand Prix,STR,94.838,11,SOFT
2024,Chinese Grand Prix,TSU,95.746,8,SOFT
2024,Chinese Grand Prix,VER,93.66,17,SOFT
2024,Chinese Grand Prix,ZHO,95.505,7,SOFT
2024,Dutch Grand Prix,ALB,70.653,17,SOFT
2024,Dutch Grand Prix,ALO,70.633,15,SOFT
2024,Dutch Grand Prix,BOT,72.168,8,SOFT
2024,Dutch Grand Prix,GAS,70.815,13,SOFT
2024,Dutch Grand Prix,HAM,70.948,12,SOFT
2024,Dutch Grand Prix,HUL,71.215,16,SOFT
2024,Dutch Grand Prix,LEC,70.582,23,SOFT
2024,Dutch Grand Prix,MAG,71.295,11,SOFT
2024,Dutch Grand Prix,NOR,69.673,13,SOFT
2024,Dutch Grand Prix,OCO,71.995,8,SOFT
2024,Dutch Grand Prix,PER,70.416,16,SOFT
2024,Dutch Grand Prix,PIA,70.172,15,SOFT
2024,Dutch Grand Prix,RIC,71.943,8,SOFT
2024,Dutch Grand Prix,RUS,70.244,17,SOFT
2024,Dutch Grand Prix,SAI,70.914,17,SOFT
2024,Dutch Grand Prix,STR,70.661,15,SOFT
2024,Dutch Grand Prix,TSU,70.955,14,SOFT
2024,Dutch Grand Prix,VER,70.029,13,SOFT
2024,Dutch Grand Prix,ZHO,73.261,8,SOFT
2024,Emilia Romagna Grand Prix,ALB,76.2,11,SOFT
2024,Emilia Romagna Grand Prix,ALO,76.917,2,SOFT
2024,Emilia Romagna Grand Prix,BOT,76.626,5,SOFT
2024,Emilia Romagna Grand Prix,GAS,76.015,5,SOFT
2024,Emilia Romagna Grand Prix,HAM,75.504,19,SOFT
2024,Emilia Romagna Grand Prix,HUL,75.569,14,SOFT
2024,Emilia Romagna Grand Prix,LEC,74.97,20,SOFT
2024,Emilia Romagna Grand Prix,MAG,76.854,5,SOFT
2024,Emilia Romagna Grand Prix,NOR,74.837,18,SOFT
2024,Emilia Romagna Grand Prix,OCO,75.906,14,SOFT
2024,Emilia Romagna Grand Prix,PER,75.706,9,SOFT
2024,Emilia Romagna Grand Prix,PIA,74.82,14,SOFT
2024,Emilia Romagna Grand Prix,RIC,75.674,14,SOFT
2024,Emilia Romagna Grand Prix,RUS,75.234,17,SOFT
2024,Emilia Romagna Grand Prix,SAI,75.233,19,SOFT
2024,Emilia Romagna Grand Prix,SAR,76.731,7,SOFT
