season,race,driver,position,win,dnf
2023,Abu Dhabi Grand Prix,ALB,14,0,0
2023,Abu Dhabi Grand Prix,ALO,7,0,0
2023,Abu Dhabi Grand Prix,BOT,19,0,0
2023,Abu Dhabi Grand Prix,GAS,13,0,0
2023,Abu Dhabi Grand Prix,HAM,9,0,0
2023,Abu Dhabi Grand Prix,HUL,15,0,0
2023,Abu Dhabi Grand Prix,LEC,3,0,0
2023,Abu Dhabi Grand Prix,MAG,20,0,0
2023,Abu Dhabi Grand Prix,NOR,5,0,0
2023,Abu Dhabi Grand Prix,OCO,12,0,0
2023,Abu Dhabi Grand Prix,PER,2,0,0
2023,Abu Dhabi Grand Prix,PIA,6,0,0
2023,Abu Dhabi Grand Prix,RIC,11,0,0
2023,Abu Dhabi Grand Prix,RUS,4,0,0
2023,Abu Dhabi Grand Prix,SAI,15,0,0
2023,Abu Dhabi Grand Prix,SAR,16,0,0
2023,Abu Dhabi Grand Prix,STR,10,0,0
2023,Abu Dhabi Grand Prix,TSU,8,0,0
2023,Abu Dhabi Grand Prix,VER,1,1,0
2023,Abu Dhabi Grand Prix,ZHO,17,0,0
2023,Australian Grand Prix,ALB,6,0,1
2023,Australian Grand Prix,ALO,3,0,1
2023,Australian Grand Prix,BOT,12,0,1
2023,Australian Grand Prix,DEV,15,0,1
2023,Australian Grand Prix,GAS,5,0,1
2023,Australian Grand Prix,HAM,2,0,1
2023,Australian Grand Prix,HUL,8,0,1
2023,Australian Grand Prix,MAG,12,0,1
2023,Australian Grand Prix,NOR,7,0,1
2023,Australian Grand Prix,OCO,10,0,1
2023,Australian Grand Prix,PER,6,0,1
2023,Australian Grand Prix,PIA,9,0,1
2023,Australian Grand Prix,RUS,14,0,1
2023,Australian Grand Prix,SAI,4,0,1
2023,Australian Grand Prix,SAR,16,0,1
2023,Australian Grand Prix,STR,5,0,1
2023,Australian Grand Prix,TSU,11,0,1
2023,Australian Grand Prix,VER,1,1,1
2023,Australian Grand Prix,ZHO,10,0,1
2023,Austrian Grand Prix,ALB,11,0,1
2023,Austrian Grand Prix,ALO,6,0,1
2023,Austrian Grand Prix,BOT,16,0,1
2023,Austrian Grand Prix,DEV,15,0,1
2023,Austrian Grand Prix,GAS,9,0,1
2023,Austrian Grand Prix,HAM,7,0,1
2023,Austrian Grand Prix,HUL,19,0,1
2023,Austrian Grand Prix,LEC,2,0,1
2023,Austrian Grand Prix,MAG,19,0,1
2023,Austrian Grand Prix,NOR,5,0,1
2023,Austrian Grand Prix,OCO,12,0,1
2023,Austrian Grand Prix,PER,3,0,1
2023,Austrian Grand Prix,PIA,18,0,1
2023,Austrian Grand Prix,RUS,8,0,1
2023,Austrian Grand Prix,SAI,4,0,1
2023,Austrian Grand Prix,SAR,13,0,1
2023,Austrian Grand Prix,STR,10,0,1
2023,Austrian Grand Prix,TSU,17,0,1
2023,Austrian Grand Prix,VER,1,1,1
2023,Austrian Grand Prix,ZHO,14,0,1
