season,race,driver,win_prob
2024,Abu Dhabi Grand Prix,ALB,0.0033556288
2024,Abu Dhabi Grand Prix,ALO,0.01468896
2024,Abu Dhabi Grand Prix,BOT,0.01820396
2024,Abu Dhabi Grand Prix,COL,0.003505674
2024,Abu Dhabi Grand Prix,DOO,0.0025642125
2024,Abu Dhabi Grand Prix,GAS,0.10237132
2024,Abu Dhabi Grand Prix,HAM,0.0030837269
2024,Abu Dhabi Grand Prix,HUL,0.13096173
2024,Abu Dhabi Grand Prix,LAW,0.0043935515
2024,Abu Dhabi Grand Prix,LEC,0.10522241
2024,Abu Dhabi Grand Prix,MAG,0.0063852794
2024,Abu Dhabi Grand Prix,NOR,0.0601901
2024,Abu Dhabi Grand Prix,PIA,0.11856008
2024,Abu Dhabi Grand Prix,RUS,0.017780654
2024,Abu Dhabi Grand Prix,SAI,0.26973665
2024,Abu Dhabi Grand Prix,STR,0.005043573
2024,Abu Dhabi Grand Prix,TSU,0.004776413
2024,Abu Dhabi Grand Prix,VER,0.12352875
2024,Abu Dhabi Grand Prix,ZHO,0.005647302
2024,Australian Grand Prix,ALO,0.013881382
2024,Australian Grand Prix,BOT,0.0049146772
2024,Australian Grand Prix,GAS,0.008217398
2024,Australian Grand Prix,HAM,0.036349993
2024,Australian Grand Prix,HUL,0.004429797
2024,Australian Grand Prix,LEC,0.3008815
2024,Australian Grand Prix,MAG,0.0045246514
2024,Australian Grand Prix,NOR,0.21132624
2024,Australian Grand Prix,OCO,0.00372508
2024,Australian Grand Prix,PER,0.19164032
2024,Australian Grand Prix,PIA,0.049650226
2024,Australian Grand Prix,RIC,0.004583939
2024,Australian Grand Prix,RUS,0.010288354
2024,Australian Grand Prix,SAI,0.08664659
2024,Australian Grand Prix,STR,0.017495751
2024,Australian Grand Prix,TSU,0.023045681
2024,Australian Grand Prix,VER,0.026002841
2024,Australian Grand Prix,ZHO,0.0023956334
2024,Azerbaijan Grand Prix,ALB,0.014275562
2024,Azerbaijan Grand Prix,ALO,0.04282874
2024,Azerbaijan Grand Prix,BEA,0.0068613915
2024,Azerbaijan Grand Prix,BOT,0.014287572
2024,Azerbaijan Grand Prix,COL,0.05144084
2024,Azerbaijan Grand Prix,GAS,0.00902648
2024,Azerbaijan Grand Prix,HAM,0.032162152
2024,Azerbaijan Grand Prix,HUL,0.011769895
2024,Azerbaijan Grand Prix,LEC,0.057729762
2024,Azerbaijan Grand Prix,NOR,0.012660536
2024,Azerbaijan Grand Prix,OCO,0.00483589
2024,Azerbaijan Grand Prix,PER,0.17662688
2024,Azerbaijan Grand Prix,PIA,0.12878975
2024,Azerbaijan Grand Prix,RIC,0.0149497315
2024,Azerbaijan Grand Prix,RUS,0.014800218
2024,Azerbaijan Grand Prix,SAI,0.25176108
2024,Azerbaijan Grand Prix,STR,0.020262323
2024,Azerbaijan Grand Prix,TSU,0.028310444
2024,Azerbaijan Grand Prix,VER,0.1021132
2024,Azerbaijan Grand Prix,ZHO,0.004507479
2024,Bahrain Grand Prix,ALB,0.0041026603
2024,Bahrain Grand Prix,ALO,0.096952155
2024,Bahrain Grand Prix,BOT,0.0022576083
2024,Bahrain Grand Prix,GAS,0.0017016741
2024,Bahrain Grand Prix,HAM,0.009524083
2024,Bahrain Grand Prix,HUL,0.014337428
2024,Bahrain Grand Prix,LEC,0.10859427
2024,Bahrain Grand Prix,MAG,0.005065819
2024,Bahrain Grand Prix,NOR,0.052497044
2024,Bahrain Grand Prix,OCO,0.0026016503
2024,Bahrain Grand Prix,PER,0.17700319
2024,Bahrain Grand Prix,PIA,0.051020402
2024,Bahrain Grand Prix,RIC,0.0027234606
2024,Bahrain Grand Prix,RUS,0.13936825
2024,Bahrain Grand Prix,SAI,0.029466562
2024,Bahrain Grand Prix,SAR,0.0016552313
2024,Bahrain Grand Prix,STR,0.005311184
2024,Bahrain Grand Prix,TSU,0.003624784
2024,Bahrain Grand Prix,VER,0.2903195
2024,Bahrain Grand Prix,ZHO,0.0018730479
2024,Belgian Grand Prix,ALB,0.074035615
2024,Belgian Grand Prix,ALO,0.052276976
2024,Belgian Grand Prix,BOT,0.01784329
2024,Belgian Grand Prix,GAS,0.02443862
2024,Belgian Grand Prix,HAM,0.05475973
2024,Belgian Grand Prix,HUL,0.014415021
2024,Belgian Grand Prix,LEC,0.09461474
2024,Belgian Grand Prix,MAG,0.005312394
2024,Belgian Grand Prix,NOR,0.0769725
2024,Belgian Grand Prix,OCO,0.06881467
2024,Belgian Grand Prix,PER,0.12959036
2024,Belgian Grand Prix,PIA,0.06698666
2024,Belgian Grand Prix,RIC,0.028950972
2024,Belgian Grand Prix,RUS,0.01905116
2024,Belgian Grand Prix,SAI,0.032462366
2024,Belgian Grand Prix,SAR,0.010149911
2024,Belgian Grand Prix,STR,0.01627293
2024,Belgian Grand Prix,TSU,0.0080237
2024,Belgian Grand Prix,VER,0.19964284
2024,Belgian Grand Prix,ZHO,0.00538556
2024,British Grand Prix,ALB,0.021677574
2024,British Grand Prix,ALO,0.014838362
2024,British Grand Prix,BOT,0.005544121
